# Sensor Calzada, Taguig, Philippines (Purple Air/99177)
# https://aqicn.org/station/@204484/
# Hourly pm25
date,min,max,median,stddev
2023-02-13T00:00:00.000Z,13.3,24.7,22.05,3.314
2023-02-13T01:00:00.000Z,9.4,35.3,15.7,6.697
2023-02-13T02:00:00.000Z,12.4,23.1,17.8,2.671
2023-02-13T03:00:00.000Z,6.5,10.7,8.6,1.301
2023-02-13T04:00:00.000Z,7.5,14.9,10.6,1.804
2023-02-13T05:00:00.000Z,0.6,7.9,1.6,2.125
2023-02-13T06:00:00.000Z,0.8,5.2,1.6,0.871
2023-02-13T07:00:00.000Z,0.7,9.1,2.65,2.249
2023-02-13T08:00:00.000Z,2.8,17.2,5,4.447
2023-02-13T09:00:00.000Z,5.1,15,9.4,2.582
2023-02-13T10:00:00.000Z,7.4,21.5,14.25,4.458
2023-02-13T11:00:00.000Z,22,39.9,26.7,4.67
2023-02-13T12:00:00.000Z,17.7,34.1,21.15,4.208
2023-02-13T13:00:00.000Z,9.5,41.8,15.9,12.237
2023-02-13T14:00:00.000Z,7.7,14.7,11.9,1.685
2023-02-13T15:00:00.000Z,7.3,13.8,10.9,1.483
2023-02-13T16:00:00.000Z,4.9,22.9,15,5.518
2023-02-13T17:00:00.000Z,11.5,72.5,18.64,12.139
2023-02-13T18:00:00.000Z,26.9,201.1,80.5,65.038
2023-02-13T19:00:00.000Z,14.8,24.5,20.8,2.742
2023-02-13T20:00:00.000Z,15.5,29.2,19.75,4.403
2023-02-13T21:00:00.000Z,28.2,37.7,32.5,2.315
2023-02-13T22:00:00.000Z,30,41.2,34.7,3.664
2023-02-13T23:00:00.000Z,35.5,45.1,41.5,2.097
2023-02-14T00:00:00.000Z,23,41.1,33.6,6.37
2023-02-14T01:00:00.000Z,30.7,44.3,36.29,3.866
2023-02-14T02:00:00.000Z,17.5,34.1,28.65,4.764
2023-02-14T03:00:00.000Z,16,24.9,20.5,2.191
2023-02-14T04:00:00.000Z,4.1,20.5,11.75,4.612
2023-02-14T05:00:00.000Z,3.3,8.9,3.9,1.406
2023-02-14T06:00:00.000Z,1.6,4.1,2.8,0.698
2023-02-14T07:00:00.000Z,1.7,3.4,2.1,0.483
2023-02-14T08:00:00.000Z,1.8,9.3,4.3,2.164
2023-02-14T09:00:00.000Z,5.3,12,7.7,1.92
2023-02-14T10:00:00.000Z,9.5,38.8,12.9,8.648
2023-02-14T11:00:00.000Z,11.7,47.5,15.1,11.547
2023-02-14T12:00:00.000Z,9.3,27.5,16.1,5.04
2023-02-14T13:00:00.000Z,5,59,14.9,16.174
2023-02-14T14:00:00.000Z,10.1,88.8,54.35,24.18
2023-02-14T15:00:00.000Z,4.8,79.3,22.8,20.813
2023-02-14T16:00:00.000Z,4.2,107.4,24.15,30.416
2023-02-14T17:00:00.000Z,7.7,40.1,13.15,8.016
2023-02-14T18:00:00.000Z,20.1,93.2,48.5,16.663
2023-02-14T19:00:00.000Z,73.2,128.5,102.7,11.645
2023-02-14T20:00:00.000Z,30.1,91.9,62.05,19.601
2023-02-14T21:00:00.000Z,29.8,47.4,41.7,6.594
2023-02-14T22:00:00.000Z,43.4,55.1,47,2.24
2023-02-14T23:00:00.000Z,46.4,61.7,51.6,4.324
2023-02-15T00:00:00.000Z,27,46,33.5,6.359
2023-02-15T01:00:00.000Z,3,34.9,16.35,8.698
2023-02-15T02:00:00.000Z,1.1,6,2.9,1.194
2023-02-15T03:00:00.000Z,1,3.7,2.6,0.78
2023-02-15T04:00:00.000Z,0.9,6.8,2.5,1.144
2023-02-15T05:00:00.000Z,0.4,2.6,1.2,0.579
2023-02-15T06:00:00.000Z,0.7,5.6,1.4,1.241
2023-02-15T07:00:00.000Z,0.3,2.8,1.2,0.664
2023-02-15T08:00:00.000Z,1.5,21.7,3.5,4.713
2023-02-15T09:00:00.000Z,3,11.7,4.7,1.738
2023-02-15T10:00:00.000Z,5.4,18.9,10.05,3.328
2023-02-15T11:00:00.000Z,8.3,31.1,17.1,5.855
2023-02-15T12:00:00.000Z,7.6,20.5,10.3,3.173
2023-02-15T13:00:00.000Z,6.4,17.9,8.4,3.505
2023-02-15T14:00:00.000Z,5.8,20.5,10,3.963
2023-02-15T15:00:00.000Z,2.5,7.1,3.8,1.364
2023-02-15T16:00:00.000Z,1.8,12.5,7.3,2.883
2023-02-15T17:00:00.000Z,1.3,8.2,3.4,1.39
2023-02-15T18:00:00.000Z,3.7,24.4,10.4,5.072
2023-02-15T19:00:00.000Z,2,25.8,7.3,5.046
2023-02-15T20:00:00.000Z,0.7,4.1,2.2,0.823
2023-02-15T21:00:00.000Z,2.4,25.8,10.9,5.752
2023-02-15T22:00:00.000Z,11.2,26.8,13.6,3.497
2023-02-15T23:00:00.000Z,5.3,27.4,11.3,4.785
2023-02-16T00:00:00.000Z,2.2,15.2,4.59,2.956
2023-02-16T01:00:00.000Z,1.5,5.9,3.15,1.349
2023-02-16T02:00:00.000Z,1.6,5.8,3.3,0.842
2023-02-16T03:00:00.000Z,2.4,19.3,4.09,3.21
2023-02-16T04:00:00.000Z,1.6,5.3,3.1,1
2023-02-16T05:00:00.000Z,1.4,5.2,3.1,0.924
2023-02-16T06:00:00.000Z,2.8,6.2,3.6,0.741
2023-02-16T07:00:00.000Z,2.7,5.6,3.6,0.765
2023-02-16T08:00:00.000Z,3.6,9,4.7,1.615
2023-02-16T09:00:00.000Z,3.3,20.6,6.05,3.401
2023-02-16T10:00:00.000Z,7.9,21.4,13.05,3.844
2023-02-16T11:00:00.000Z,6.7,33.7,11.7,6.812
2023-02-16T12:00:00.000Z,5.6,9.9,7.55,1.155
2023-02-16T13:00:00.000Z,4.5,6.8,5.55,0.664
