# Sensor 8 Forbestown, Taguig, Philippines (Purple Air/134160)
# https://aqicn.org/station/@248974/
# Hourly pm25
date,min,max,median,stddev
2023-02-13T00:00:00.000Z,6.3,31.9,19.89,7.836
2023-02-13T01:00:00.000Z,10.6,30.1,20.3,5.798
2023-02-13T02:00:00.000Z,19.6,30.5,26.6,2.946
2023-02-13T03:00:00.000Z,17.3,30.8,21.5,4.075
2023-02-13T04:00:00.000Z,18.5,25.9,23.6,1.836
2023-02-13T05:00:00.000Z,0.5,20.5,16.89,5.258
2023-02-13T06:00:00.000Z,0,3.3,0.85,1.002
2023-02-13T07:00:00.000Z,0,7.8,3.35,2.159
2023-02-13T08:00:00.000Z,0.1,5.1,1.7,1.611
2023-02-13T09:00:00.000Z,4.5,8.8,5.8,1.027
2023-02-13T10:00:00.000Z,3.6,9.3,4.59,1.308
2023-02-13T11:00:00.000Z,9.7,28.9,26.75,7.316
2023-02-13T12:00:00.000Z,23.8,28.9,28,1.333
2023-02-13T13:00:00.000Z,5.8,23.3,7,6.094
2023-02-13T14:00:00.000Z,2.1,7,4.59,1.268
2023-02-13T15:00:00.000Z,3.9,15,6.9,3.338
2023-02-13T16:00:00.000Z,4.1,5.6,4.8,0.406
2023-02-13T17:00:00.000Z,4.8,13.5,5.7,2.482
2023-02-13T18:00:00.000Z,9.2,16.4,11.75,2.081
2023-02-13T19:00:00.000Z,8.4,23.8,12.45,3.358
2023-02-13T20:00:00.000Z,13.8,19.3,17.55,1.214
2023-02-13T21:00:00.000Z,8,31.7,23.05,8.023
2023-02-13T22:00:00.000Z,17.2,32.2,27,4.173
2023-02-13T23:00:00.000Z,25.1,41.9,35.9,5.486
2023-02-14T00:00:00.000Z,30.9,42.7,40.1,2.437
2023-02-14T01:00:00.000Z,33.6,43,38.1,1.927
2023-02-14T02:00:00.000Z,43.7,55.3,50.4,3.477
2023-02-14T03:00:00.000Z,36.4,53.7,40.9,4.923
2023-02-14T04:00:00.000Z,25.2,55.6,41,8.583
2023-02-14T05:00:00.000Z,17.8,27,23.2,2.807
2023-02-14T06:00:00.000Z,2.7,14.9,6.3,2.365
2023-02-14T07:00:00.000Z,2.5,18.7,4.9,4.932
2023-02-14T08:00:00.000Z,5.1,31.8,29.3,7.811
2023-02-14T09:00:00.000Z,6.3,28.6,14.9,8.255
2023-02-14T10:00:00.000Z,6.8,23.9,10.19,5.345
2023-02-14T11:00:00.000Z,14.2,29.1,21.35,4.564
2023-02-14T12:00:00.000Z,11.6,27.9,20.7,4.194
2023-02-14T13:00:00.000Z,7.9,12.2,9.5,0.942
2023-02-14T14:00:00.000Z,8.4,21.7,12.35,4.276
2023-02-14T15:00:00.000Z,6.7,22.7,16.95,4.844
2023-02-14T16:00:00.000Z,2,16.4,3.25,3.941
2023-02-14T17:00:00.000Z,6.9,18.7,11.85,3.189
2023-02-14T18:00:00.000Z,1.1,7.4,2.8,1.992
2023-02-14T19:00:00.000Z,1,4.6,2.5,0.928
2023-02-14T20:00:00.000Z,2.2,10.8,5.3,2.062
2023-02-14T21:00:00.000Z,3.9,19.6,8.75,4.791
2023-02-14T22:00:00.000Z,4.3,30.5,20.55,8.882
2023-02-14T23:00:00.000Z,21,33.8,27,4.144
2023-02-15T00:00:00.000Z,21.2,29.7,25.8,2.384
2023-02-15T01:00:00.000Z,11.5,21.7,17.3,2.475
2023-02-15T02:00:00.000Z,0.4,16.8,8.05,4.309
