# Sensor Multinational Village, Parañaque, Philippines (Purple Air/57447)
# https://aqicn.org/station/@127897/
# Hourly pm25
date,min,max,median,stddev
2023-02-13T00:00:00.000Z,11.2,34.8,17.3,5.256
2023-02-13T01:00:00.000Z,15.7,37.6,30.1,7.653
2023-02-13T02:00:00.000Z,10.8,34,27.6,7.001
2023-02-13T03:00:00.000Z,11,28.8,16.35,4.304
2023-02-13T04:00:00.000Z,5.3,16,9.1,2.711
2023-02-13T05:00:00.000Z,9.8,25.3,13.2,3.389
2023-02-13T06:00:00.000Z,2.8,251.7,13.35,52.825
2023-02-13T07:00:00.000Z,1.5,4.6,2.45,0.7
2023-02-13T08:00:00.000Z,2.4,4.8,3.7,0.641
2023-02-13T09:00:00.000Z,3.5,12.2,5.8,2.191
2023-02-13T10:00:00.000Z,7.4,35.8,15.9,6.943
2023-02-13T11:00:00.000Z,12.8,52.2,20.3,9.137
2023-02-13T12:00:00.000Z,11.5,23.6,16.14,2.739
2023-02-13T13:00:00.000Z,18.7,28.4,22.4,2.688
2023-02-13T14:00:00.000Z,17.9,73,21.5,16.309
2023-02-13T15:00:00.000Z,24.5,75.5,43.6,15.05
2023-02-13T16:00:00.000Z,25.6,273.7,43.4,67.455
2023-02-13T17:00:00.000Z,40.4,84,66.3,11.605
2023-02-13T18:00:00.000Z,29.6,112.8,40.6,25.452
2023-02-13T19:00:00.000Z,32.2,53.5,38.6,5.123
2023-02-13T20:00:00.000Z,85.6,255,184.35,30.522
2023-02-13T21:00:00.000Z,70.3,145.9,99.85,19.389
2023-02-13T22:00:00.000Z,63.4,115.2,82.6,14.369
2023-02-13T23:00:00.000Z,38.7,95.5,69.2,19.997
2023-02-14T00:00:00.000Z,21,69,33.95,8.791
2023-02-14T01:00:00.000Z,28.2,40.6,36,3.633
2023-02-14T02:00:00.000Z,37.1,49.2,40.15,2.832
2023-02-14T03:00:00.000Z,44,57.7,48.8,2.746
2023-02-14T04:00:00.000Z,45.2,51.7,49.3,1.474
2023-02-14T05:00:00.000Z,30.2,50.7,47.35,4.348
2023-02-14T06:00:00.000Z,4.4,53.7,41.6,15.861
2023-02-14T07:00:00.000Z,3.9,62.5,17.2,15.649
2023-02-14T08:00:00.000Z,3.7,8.4,4.7,0.981
2023-02-14T09:00:00.000Z,4.2,20.8,6.1,3.873
2023-02-14T10:00:00.000Z,8.6,23.6,10.4,3.605
2023-02-14T11:00:00.000Z,12.8,19.5,16.1,1.57
2023-02-14T12:00:00.000Z,4.5,19.8,5.6,4.294
2023-02-14T13:00:00.000Z,3.3,8.1,4.2,0.978
2023-02-14T14:00:00.000Z,2.5,4.3,3.1,0.491
2023-02-14T15:00:00.000Z,2.4,5.2,3,0.554
2023-02-14T16:00:00.000Z,2.1,4.1,3.1,0.474
2023-02-14T17:00:00.000Z,2.6,4.2,3.2,0.438
