# Sensor One Serendra Bamboo, Taguig, Philippines (Purple Air/42427)
# https://aqicn.org/station/@50926/
# Hourly pm25
date,min,max,median,stddev
2023-02-13T00:00:00.000Z,12.2,35.4,30,7.438
2023-02-13T01:00:00.000Z,8.4,17.7,13.65,2.695
2023-02-13T02:00:00.000Z,15.2,34.9,19.89,3.664
2023-02-13T03:00:00.000Z,12.6,28.8,17.3,4.109
2023-02-13T04:00:00.000Z,11.7,23.7,14.75,2.85
2023-02-13T05:00:00.000Z,1.7,16.1,7.55,4.035
2023-02-13T06:00:00.000Z,1.7,8.6,2.8,1.827
2023-02-13T07:00:00.000Z,1.1,10.6,4.4,2.837
2023-02-13T08:00:00.000Z,2.6,9.1,5.9,1.699
2023-02-13T09:00:00.000Z,4.7,19.5,9,4.686
2023-02-13T10:00:00.000Z,4.4,34.5,7.55,5.818
2023-02-13T11:00:00.000Z,19.5,39.2,33.35,5.774
2023-02-13T12:00:00.000Z,11.2,32.2,27.05,5.628
2023-02-13T13:00:00.000Z,6.6,11.9,7.65,1.532
2023-02-13T14:00:00.000Z,3.6,13.3,6.3,3.525
2023-02-13T15:00:00.000Z,4,12.8,7.15,2.353
2023-02-13T16:00:00.000Z,4.4,12.8,6.95,2.103
2023-02-13T17:00:00.000Z,6.3,13.8,10.3,1.906
2023-02-13T18:00:00.000Z,8.4,13.7,10.19,1.657
2023-02-13T19:00:00.000Z,15.1,23,18.3,1.996
2023-02-13T20:00:00.000Z,16.6,24.9,18.39,2.271
2023-02-13T21:00:00.000Z,19.3,34.7,28.8,5.027
2023-02-13T22:00:00.000Z,21.6,35.5,29.5,3.819
2023-02-13T23:00:00.000Z,19.6,35.7,24.9,4.889
2023-02-14T00:00:00.000Z,21.7,30.7,26,2.285
2023-02-14T01:00:00.000Z,24.3,44.2,30.75,5.692
2023-02-14T02:00:00.000Z,32.3,44,37.25,3.003
2023-02-14T03:00:00.000Z,27.1,38.9,30.75,2.835
2023-02-14T04:00:00.000Z,12.2,32.9,28.1,6.016
2023-02-14T05:00:00.000Z,7.6,32.6,14.75,5.881
2023-02-14T06:00:00.000Z,4.8,12,7,1.946
2023-02-14T07:00:00.000Z,4,12.9,6.6,2.325
2023-02-14T08:00:00.000Z,4,25.5,16.3,6.942
2023-02-14T09:00:00.000Z,5.6,32.5,8.44,6.113
2023-02-14T10:00:00.000Z,6.8,40.5,11.6,11.254
2023-02-14T11:00:00.000Z,9.6,45.9,22.3,10.247
2023-02-14T12:00:00.000Z,10.7,50.4,24.1,9.431
2023-02-14T13:00:00.000Z,10.3,27.2,15.15,4.011
2023-02-14T14:00:00.000Z,6.1,33.6,18.7,11.243
2023-02-14T15:00:00.000Z,6.3,18.1,11,3.367
2023-02-14T16:00:00.000Z,5.3,13.7,9.4,2.547
2023-02-14T17:00:00.000Z,7.6,17.4,13.4,3.369
2023-02-14T18:00:00.000Z,4.2,10.3,5.15,2.013
2023-02-14T19:00:00.000Z,4,38.6,22.8,13.847
2023-02-14T20:00:00.000Z,5.4,19.9,10.45,4.669
2023-02-14T21:00:00.000Z,15.2,37.7,31.55,4.585
2023-02-14T22:00:00.000Z,20.3,41.1,32.04,5.309
2023-02-14T23:00:00.000Z,17.3,41.2,37.29,8.581
2023-02-15T00:00:00.000Z,12.4,24.2,17.2,2.669
2023-02-15T01:00:00.000Z,9.5,15.5,11.5,1.447
2023-02-15T02:00:00.000Z,1.4,11.4,8.1,3.133
2023-02-15T03:00:00.000Z,1.8,5.9,3.45,0.95
2023-02-15T04:00:00.000Z,1.1,4.6,2.1,0.78
