# Sensor Wack Wack, Mandaluyong, Philippines (Purple Air/57189)
# https://aqicn.org/station/@132778/
# Hourly pm25
date,min,max,median,stddev
2023-02-13T00:00:00.000Z,14.4,37.8,32.7,8.748
2023-02-13T01:00:00.000Z,9.3,26.3,13.4,4.79
2023-02-13T02:00:00.000Z,10.1,29.9,23.8,5.785
2023-02-13T03:00:00.000Z,15.5,34.2,20.7,6.792
2023-02-13T04:00:00.000Z,14,27,24.8,4.715
2023-02-13T05:00:00.000Z,12.9,20.6,16.2,2.915
2023-02-13T06:00:00.000Z,12.4,37.1,18.85,5.298
2023-02-13T07:00:00.000Z,11.4,20.1,18.3,2.886
2023-02-13T08:00:00.000Z,4.9,20.5,18.5,6.691
2023-02-13T09:00:00.000Z,4.6,10,7.15,1.344
2023-02-13T10:00:00.000Z,4.9,15.2,9.05,3.22
2023-02-13T11:00:00.000Z,15.5,32.4,25,4.205
2023-02-13T12:00:00.000Z,10.7,22,17.2,4.009
2023-02-13T13:00:00.000Z,7.9,14.8,12.4,1.937
2023-02-13T14:00:00.000Z,9.6,12.5,10.8,0.831
2023-02-13T15:00:00.000Z,7,12.5,8.3,1.149
2023-02-13T16:00:00.000Z,5.9,8.4,7.05,0.499
2023-02-13T17:00:00.000Z,6.3,15.7,8.1,2.244
2023-02-13T18:00:00.000Z,15.1,23.4,20.05,2.635
2023-02-13T19:00:00.000Z,22.4,26.1,23.6,1.078
2023-02-13T20:00:00.000Z,26.5,29.2,27.5,0.681
2023-02-13T21:00:00.000Z,29.8,33.5,31.7,1.033
2023-02-13T22:00:00.000Z,33.2,37.7,34.95,1.141
2023-02-13T23:00:00.000Z,36.5,48,41.8,3.37
2023-02-14T00:00:00.000Z,30.2,48.6,46.25,6.996
2023-02-14T01:00:00.000Z,29.6,41.9,39.75,2.575
2023-02-14T02:00:00.000Z,13.8,37.3,27.2,6.596
2023-02-14T03:00:00.000Z,21.4,50.5,28.5,11.451
2023-02-14T04:00:00.000Z,46.1,61,53.2,4.927
2023-02-14T05:00:00.000Z,31.5,51.5,35.2,4.105
2023-02-14T06:00:00.000Z,30.3,51.4,48.7,5.964
2023-02-14T07:00:00.000Z,40.2,45.2,43.1,1.613
2023-02-14T08:00:00.000Z,8.3,41,38.35,8.978
2023-02-14T09:00:00.000Z,6.5,12.8,8.4,1.935
2023-02-14T10:00:00.000Z,12.4,47.5,20.9,7.609
2023-02-14T11:00:00.000Z,14.6,22.2,16.3,1.95
2023-02-14T12:00:00.000Z,16.1,18.4,17.3,0.641
2023-02-14T13:00:00.000Z,15.5,20,17.3,1.22
2023-02-14T14:00:00.000Z,17.9,20.2,19.39,0.527
2023-02-14T15:00:00.000Z,15.9,19.9,18.2,0.802
2023-02-14T16:00:00.000Z,17.2,20.1,18.89,0.661
2023-02-14T17:00:00.000Z,15.9,19.6,17.85,1.045
